06032012 0759	1626	16.6	19.4	30.4
06032012 0859	1627	16.6	19.4	30.4
06032012 0959	1628	16.4	19.2	30.4
06032012 1059	1629	16.4	19.2	30.2
06032012 1159	1630	16.4	19.2	30.2
06032012 1259	1631	16.4	19.2	30.2
06032012 1359	1632	16.4	19.2	30
06032012 1459	1633	16.4	19.2	30
06032012 1559	1634	16.4	19.2	30
06032012 1659	1635	16.4	19.2	29.8
06032012 1759	1636	16.4	19.2	29.8
06032012 1859	1637	16.4	19	29.6
06032012 1959	1638	16.4	19	29.4
06032012 2059	1639	16.4	19	29.4
06032012 2159	1640	16.4	19	29.4
06032012 2259	1641	16.4	18.8	29.2
06032012 2359	1642	16.4	18.8	29
06042012 0059	1643	16.4	18.8	28.8
06042012 0159	1644	16.2	18.8	28.6
06042012 0259	1645	16.2	18.8	28.2
06042012 0359	1646	16.2	18.6	28
06042012 0459	1647	16.2	18.6	27.6
06042012 0559	1648	16.2	18.4	27.4
06042012 0659	1649	16.2	18.4	27.2
06042012 0759	1650	16	18.4	27.2
06042012 0859	1651	16	18.4	27.2
06042012 0959	1652	16	18.2	27.2
06042012 1059	1653	16	18.2	27
06042012 1159	1654	16	18.2	27.2
06042012 1259	1655	16.2	18.2	27
06042012 1359	1656	16	18.2	27.2
06042012 1459	1657	16	18.2	27.2
06042012 1559	1658	16	18.2	27.4
06042012 1659	1659	16	18.4	27.6
06042012 1759	1660	16	18.4	27.6
06042012 1859	1661	16	18.4	27.8
06042012 1959	1662	16	18.4	27.8
06042012 2059	1663	16	18.4	27.8
06042012 2159	1664	16	18.4	27.6
06042012 2259	1665	16	18.4	27.6
06042012 2359	1666	16	18.2	27.4
06052012 0059	1667	16	18.2	27.2
06052012 0159	1668	16	18.2	27.2
06052012 0259	1669	16	18.2	27.2
06052012 0359	1670	16	18.2	27
06052012 0459	1671	16	18	27
06052012 0559	1672	16	18	27
06052012 0659	1673	16	18	27.2
06052012 0759	1674	16	18.2	27.4
06052012 0859	1675	16	18.2	27.4
06052012 0959	1676	16	18.2	27.6
06052012 1059	1677	16	18.2	27.6
06052012 1159	1678	16	18.4	27.6
06052012 1259	1679	16	18.4	27.6
06052012 1359	1680	16	18.4	27.8
06052012 1459	1681	16	18.4	27.6
06052012 1559	1682	16	18.4	27.6
06052012 1659	1683	16	18.4	27.6
06052012 1759	1684	16	18.4	27.6
06052012 1859	1685	16	18.2	27.6
06052012 1959	1686	16	18.2	27.6
06052012 2059	1687	16	18.2	27.6
06052012 2159	1688	16	18.2	27.6
06052012 2259	1689	16	18.2	27.4
06052012 2359	1690	16	18.2	27.4
06062012 0059	1691	16	18.2	27.4
06062012 0159	1692	16	18.2	27.4
06062012 0259	1693	16	18.2	27
06062012 0359	1694	16	18	26.8
06062012 0459	1695	16	18	26.8
06062012 0559	1696	16	18	26.6
06062012 0659	1697	16	18	26.6
06062012 0759	1698	16	18	26.6
06062012 0859	1699	16	18	26.8
06062012 0959	1700	16	18	27
06062012 1059	1701	16	17.8	26.8
06062012 1159	1702	15.8	17.8	27.8
06062012 1259	1703	16	18	28
06062012 1359	1704	16	18.2	28.4
06062012 1459	1705	16	18.2	28.6
